NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Juan, Serrano",M,CR,Principal Investigator,Perpectiva Social Geográfica,"POLITICAS NACIONALES Y LOCALES PARA LA GESTION INTEGRAL DE RESIDUOS SOLIDOS EN LA CIUDAD DE BAGACES, GUANACASTE",02/02/2011,06/20/2012,,Palo Verde,Organization for Tropical Studies,CR,,Finished,-78.922621,36.001447
"Carlos, de la Rosa",M,US,Principal Investigator,Phytotelmata,Phytotelmata macroinvertebrate fauna,06/22/2012,,"Bromeliads, tree holes, aquatic invertebrates, phytotelmata, plant-held waters",La Selva,Organization for Tropical Studies,CR,,Approved,-78.922621,36.001447
"Ronald, Vargas Castro",M,CR,Collaborator,Phytotelmata,Phytotelmata macroinvertebrate fauna,06/22/2012,,"Bromeliads, tree holes, aquatic invertebrates, phytotelmata, plant-held waters",La Selva,Organization for Tropical Studies,CR,,Approved,-78.922621,36.001447
"Hanna, Eberlein",F,DE,Principal Investigator,Bees,Tropical deforestation and trophic networks: The impact of landscape configuration and composition,03/20/2013,08/31/2013,"trophic networks, bees, wasps, biodiversity, hymenoptera,trap nest, fragmentation, habitat configuration, habitat composition ",Las Cruces,Georg-August Universität Göttingen,DE,,Finished,9.93786,51.5407
"Urs, Kormann",M,DE,Co-PI,Bees,Tropical deforestation and trophic networks: The impact of landscape configuration and composition,03/20/2013,08/31/2013,"trophic networks, bees, wasps, biodiversity, hymenoptera,trap nest, fragmentation, habitat configuration, habitat composition ",Las Cruces,Georg-August Universität Göttingen,DE,,Finished,9.93786,51.5407
"Gretchen, Daily",F,US,Advisor,Frog jumping performance,Influence of temperature and moisture level on jumping performance of deforestation tolerant and intolerant frogs,03/15/2013,06/21/2013,"jumping performance, thermal tolerance, desiccation stress, deforestation, temperature",Las Cruces,Stanford University,US,,Finished,-122.169719,37.4274745
"Luke, Frishkoff",M,US,Principal Investigator,Frog jumping performance,Influence of temperature and moisture level on jumping performance of deforestation tolerant and intolerant frogs,03/15/2013,06/21/2013,"jumping performance, thermal tolerance, desiccation stress, deforestation, temperature",Las Cruces,Stanford University,US,,Finished,-122.169719,37.4274745
"Rafael, Ramírez",M,NI,Principal Investigator,Palo verde wetland.,Stationary changes in the macrophites composition of Palo Verde wetland.,07/13/2010,01/24/2013,"Palo Verde national park, Wetlands, Aquatic plants diversity, seasonal clima.",Palo Verde,Organization for Tropical Studies,CR,,Finished,-78.922621,36.001447
"Catalina, Esquivel",F,CR,Principal Investigator,Transpiración de plantas acuáticas,"Tasas de transpiración de cuatro plantas acuáticas del humedal Palo Verde, Parque Nacional Palo Verde, Costa Rica",11/23/2012,02/06/2018,,Palo Verde,Université Catholique de Louvain,CR,,Finished,4.6155909,50.6696875
"Cleo, Chou",F,US,Principal Investigator,Nutrient limitation ,Rethinking tropical forest nutrient limitation from the perspective of individual tree nutrient demand and functional types,07/29/2012,05/30/2016,"Biogeochemistry, tree functional types, nutrients, nitrogen, carbon cycle, nutrient limitation, forest dynamics",La Selva,Princeton University,US,,Finished,-74.6550739,40.3430942
"Alex, Gilman",F,IO,Principal Investigator,Reforestation Finca Los Nacientes,Restauración del ecosistema en el bosque tropical húmedo de Costa Rica: repoblación forestal para la educación y la conservación,01/01/2010,01/01/2030,Forest Restoration,La Selva,Organization for Tropical Studies,CR,Personal funds; OTS - OET; Graduate Women in Science,Approved,-78.922621,36.001447
"Rita Malia, Fincher",F,CR,Principal Investigator,Reforestation Finca Los Nacientes,Restauración del ecosistema en el bosque tropical húmedo de Costa Rica: repoblación forestal para la educación y la conservación,01/01/2010,01/01/2030,Forest Restoration,La Selva,Organization for Tropical Studies,CR,Personal funds; OTS - OET; Graduate Women in Science,Approved,-78.922621,36.001447
"Susan, Letcher",F,US,Senior Personnel,Reforestation Finca Los Nacientes,Restauración del ecosistema en el bosque tropical húmedo de Costa Rica: repoblación forestal para la educación y la conservación,01/01/2010,01/01/2030,Forest Restoration,La Selva,Organization for Tropical Studies,CR,Personal funds; OTS - OET; Graduate Women in Science,Approved,-78.922621,36.001447
"Tara Joy, Massad",F,CR,Co-PI,Reforestation Finca Los Nacientes,Restauración del ecosistema en el bosque tropical húmedo de Costa Rica: repoblación forestal para la educación y la conservación,01/01/2010,01/01/2030,Forest Restoration,La Selva,Organization for Tropical Studies,CR,Personal funds; OTS - OET; Graduate Women in Science,Approved,-78.922621,36.001447
"Linus, Günther",M,DE,Principal Investigator,Emabllonurid bats project (EmBaPro),Dispersal Patterns and Mating Systems in Emballonurid bats (Normas de dispersión y systemas de apareamiento en los Murciélagos de la Familia Emballonuridae),06/01/2006,12/31/2015,,La Selva,Natural History Museum of Berlin,DE,,Finished,13.3791755,52.5305726
"Gretchen, Daily",F,US,Advisor,Adaptation to deforestation,Adaptation and preadaptation to tropical deforestation: what genes confer survival ability in neotropical leaf litter frogs?,06/15/2013,07/23/2013,"contemporary evolution, amphibians, deforestation, countryside biogeography, selection",Las Cruces,Stanford University,US,,Finished,-122.169719,37.4274745
"Luke, Frishkoff",M,US,Principal Investigator,Adaptation to deforestation,Adaptation and preadaptation to tropical deforestation: what genes confer survival ability in neotropical leaf litter frogs?,06/15/2013,07/23/2013,"contemporary evolution, amphibians, deforestation, countryside biogeography, selection",Las Cruces,Stanford University,US,,Finished,-122.169719,37.4274745
"Amanda, Morrison",F,US,Collaborator,ECOS,"¿Collaborative Research: Belowground drivers of aboveground 
nutrient cycling and productivity in growing forests¿
",09/01/2011,08/31/2014,"net primary productivity, belowground carbon allocation, microbial ecology, nutrient cycling, plantations",La Selva,Iowa State University,US,National Science Foundation NSF,Finished,-93.6464516,42.0266573
"Ann, Russell",F,US,Principal Investigator,ECOS,"¿Collaborative Research: Belowground drivers of aboveground 
nutrient cycling and productivity in growing forests¿
",09/01/2011,08/31/2014,"net primary productivity, belowground carbon allocation, microbial ecology, nutrient cycling, plantations",La Selva,Iowa State University,US,National Science Foundation NSF,Finished,-93.6464516,42.0266573
"John, Moore",M,US,Collaborator,ECOS,"¿Collaborative Research: Belowground drivers of aboveground 
nutrient cycling and productivity in growing forests¿
",09/01/2011,08/31/2014,"net primary productivity, belowground carbon allocation, microbial ecology, nutrient cycling, plantations",La Selva,Iowa State University,US,National Science Foundation NSF,Finished,-93.6464516,42.0266573
"Sabrina, Russo",F,US,Collaborator,ECOS,"¿Collaborative Research: Belowground drivers of aboveground 
nutrient cycling and productivity in growing forests¿
",09/01/2011,08/31/2014,"net primary productivity, belowground carbon allocation, microbial ecology, nutrient cycling, plantations",La Selva,Iowa State University,US,National Science Foundation NSF,Finished,-93.6464516,42.0266573
"Stephanie, Kivlin",F,US,Senior Personnel,ECOS,"¿Collaborative Research: Belowground drivers of aboveground 
nutrient cycling and productivity in growing forests¿
",09/01/2011,08/31/2014,"net primary productivity, belowground carbon allocation, microbial ecology, nutrient cycling, plantations",La Selva,Iowa State University,US,National Science Foundation NSF,Finished,-93.6464516,42.0266573
"Bonnie, Waring",F,US,Student,ECOS3,Belowground drivers of aboveground nutrient cycling and productivity in growing forests,09/01/2011,09/01/2014,,La Selva,University of Texas at Austin,US,,Finished,-97.7340567,30.2849185
"Deborah, Visco",F,US,Principal Investigator,The Antbird Project,Demographic flexibility and ecological processes of Chestnut-backed Antbird populations in fragmented rainforest.,03/01/2010,08/01/2013,Myrmeciza exsul; Chestnut-backed Antbird; understory bird; insectivore; population demographics; breeding biology; nesting success; nest predators; survivorship; nestling provisioning; nestling growth; forest fragmentation; Pseustes poecilonotus; bird-eating snake; mark-recapture ,La Selva,The Tulane University of New Orleans,US,,Finished,-90.1203167,29.9407282
"Thomas, Sherry",M,US,Advisor,The Antbird Project,Demographic flexibility and ecological processes of Chestnut-backed Antbird populations in fragmented rainforest.,03/01/2010,08/01/2013,Myrmeciza exsul; Chestnut-backed Antbird; understory bird; insectivore; population demographics; breeding biology; nesting success; nest predators; survivorship; nestling provisioning; nestling growth; forest fragmentation; Pseustes poecilonotus; bird-eating snake; mark-recapture ,La Selva,The Tulane University of New Orleans,US,,Finished,-90.1203167,29.9407282
"Ellen, Holste",F,US,Principal Investigator,Mycorrhizal fungal-tree field experiment,La utilización de hongos micorrizas para facilitar restauración en pastos abandonadas,03/01/2011,,"mycorrhizal fungi, reforestation, soil nutrients",Las Cruces,Michigan State University,US,,Approved,-84.4821719,42.701848
"Shafkatul, Khan",M,BD,Principal Investigator,CCFC,Climate change and forest composition,03/28/2013,,,Las Cruces,University of Georgia,US,,Postponed,-83.3773221,33.9480053
"Gavin, Martin",M,US,Student,ODE,Odonate and Coleoptera Evolution,05/18/2013,06/02/2013,,La Selva,Brigham Young University,US,,Finished,-111.6493156,40.2518435
"Seth, Bybee",M,US,Principal Investigator,ODE,Odonate and Coleoptera Evolution,05/18/2013,06/02/2013,,La Selva,Brigham Young University,US,,Finished,-111.6493156,40.2518435
"Diego, Dierick",M,BE,Collaborator,Verano,Causes and implications of dry season control of tropical wet forest tree growth at very high water levels: direct vs. indirect limitations. ,07/01/2009,06/30/2014,"dry season, productivity",La Selva,Florida International University,US,National Science Foundation NSF,Finished,-80.3768786,25.7561275
"Steven, Oberbauer",M,US,Principal Investigator,Verano,Causes and implications of dry season control of tropical wet forest tree growth at very high water levels: direct vs. indirect limitations. ,07/01/2009,06/30/2014,"dry season, productivity",La Selva,Florida International University,US,National Science Foundation NSF,Finished,-80.3768786,25.7561275
"John, Smiley",M,US,Principal Investigator,La Selva Flea Beetles,Natural History of Flea Beetles that feed on Passiflora vines.,10/17/2012,,"Heliconius 
Hostplant 
Passiflora 
Alticini 
Flea Beetle 
Cyanogenesis
Community Assembly
Insect-Plant Interaction
Host Plant Specialist
Host Plant Generalist ",La Selva,"University of California, San Diego",US,,Approved,-117.2340135,32.8800604
"Duane, McKenna",M,US,Principal Investigator,Genetic structure of Costa Rican beetles,Genetic structure of beetles in Costa Rica: Cryptic species and vicariance across the Central Mountain Range,06/15/2013,,"beetles, cryptic species, host plants, biogeography, vicariance, speciation",La Selva,University of Memphis,US,Laboratory setup funds,Approved,-89.9374928,35.1187498
"Robert, Marquis",M,US,Principal Investigator,Piper,Efectos de la diversidad química y filogenética de las plantas en la estructura de la comunidad de herbívoros y la herbivoría,07/01/2012,10/01/2013,"Piper, diversity, herbivory, insects, resource concentration, phylogenies",La Selva,ABTI American University of Nigeria,NG,,Finished,12.4987763,9.1991766
"Benjamin, Scott",M,US,Field Assistant,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Bryce, Lewis-Smith",M,US,Student,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Cora, Davies",F,US,Student,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Elizabeth, Braker",F,US,Principal Investigator,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Ella, Fornari",F,US,Student,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Hannah, Hayes",F,US,Student,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Helen, Zukin",F,US,Student,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Inca, Dieterich",F,US,Student,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Kristen, Treat",F,US,Student,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"Victoria, Sork",F,US,Co-PI,Pmac ,Population ecology of Pentaclethra macroloba in northeastern Costa Rica,06/01/2013,08/31/2020,"Pentaclethra macroloba, Fabaceae, population, demography, survivorship, herbivore, genetics",La Selva,Occidental College,US,National Science Foundation NSF,Finished,-118.2101144,34.1273187
"John, Longworth",M,CR,Principal Investigator,Forest regeneration,Forest regeneration via passive and active restoration of tropical wet forests of Costa Rica,04/15/2013,09/21/2015,"forest regeneration, secondary succession, restoration, Costa Rica, tropical wet forest",La Selva,Louisiana State University and Agricultural and Mechanical College,US,,Finished,-91.1800023,30.4132579
"Alexandra, Aparicio",F,CR,Coordinator,TEAM,Volcan Barva TEAM Project,12/01/2004,,"long-term monitoring, assessment,biodversity monitoring, climate, terrestrial vertebrates, vegetation measurements, plots, Braulio Carrillo National Park",La Selva,Organization for Tropical Studies,CR,Conservation International; Gordon and Betty Moore Foundation,Approved,-78.922621,36.001447
"David, Clark",M,US,Principal Investigator,TEAM,Volcan Barva TEAM Project,12/01/2004,,"long-term monitoring, assessment,biodversity monitoring, climate, terrestrial vertebrates, vegetation measurements, plots, Braulio Carrillo National Park",La Selva,Organization for Tropical Studies,CR,Conservation International; Gordon and Betty Moore Foundation,Approved,-78.922621,36.001447
"Deborah, Clark",F,US,Co-PI,TEAM,Volcan Barva TEAM Project,12/01/2004,,"long-term monitoring, assessment,biodversity monitoring, climate, terrestrial vertebrates, vegetation measurements, plots, Braulio Carrillo National Park",La Selva,Organization for Tropical Studies,CR,Conservation International; Gordon and Betty Moore Foundation,Approved,-78.922621,36.001447
"Gilberth, Hurtado",M,CR,Technician,TEAM,Volcan Barva TEAM Project,12/01/2004,,"long-term monitoring, assessment,biodversity monitoring, climate, terrestrial vertebrates, vegetation measurements, plots, Braulio Carrillo National Park",La Selva,Organization for Tropical Studies,CR,Conservation International; Gordon and Betty Moore Foundation,Approved,-78.922621,36.001447
"Johanna, Hurtado",F,CO,Coordinator,TEAM,Volcan Barva TEAM Project,12/01/2004,,"long-term monitoring, assessment,biodversity monitoring, climate, terrestrial vertebrates, vegetation measurements, plots, Braulio Carrillo National Park",La Selva,Organization for Tropical Studies,CR,Conservation International; Gordon and Betty Moore Foundation,Approved,-78.922621,36.001447
"John, Longino",M,US,Principal Investigator,TEAM,Volcan Barva TEAM Project,12/01/2004,,"long-term monitoring, assessment,biodversity monitoring, climate, terrestrial vertebrates, vegetation measurements, plots, Braulio Carrillo National Park",La Selva,Organization for Tropical Studies,CR,Conservation International; Gordon and Betty Moore Foundation,Approved,-78.922621,36.001447
"Jorge, Ahumada",M,CR,Supervisor,TEAM,Volcan Barva TEAM Project,12/01/2004,,"long-term monitoring, assessment,biodversity monitoring, climate, terrestrial vertebrates, vegetation measurements, plots, Braulio Carrillo National Park",La Selva,Organization for Tropical Studies,CR,Conservation International; Gordon and Betty Moore Foundation,Approved,-78.922621,36.001447
"Carina, Baskett",F,US,Principal Investigator,LDG species interactions,Latitudinal variation in pollination and herbivory of plants (La variación latitudinal en la polinización y la herbivoría de las plantas),05/28/2013,06/11/2013,"plant, pollination, herbivory, diversity, species interactions, evolutionary ecology, latitudinal gradient",La Selva,Michigan State University,US,OTS - OET,Finished,-84.4821719,42.701848
"Bitty, Roy",F,US,Principal Investigator,Bitty,Barbara Ann Roy,06/18/2013,07/06/2015,,La Selva,University of Oregon,US,,Finished,-123.0726055,44.0448302
"Daniel, Thomas",M,US,Principal Investigator,Xylaria at La Selva,Are reforestation efforts in the tropics missing a key microbial component?,06/19/2013,,,La Selva,University of Oregon,US,,Rejected,-123.0726055,44.0448302
"Christina, Varian",F,US,Principal Investigator,Chris,Christina Varian,07/01/2013,,,Las Cruces,University of Georgia,US,,Rejected,-83.3773221,33.9480053
"Lee, Dyer",M,US,Principal Investigator,Old Orugas,Plant-caterpillar-parasitoid interaction diversity across the Americas.,01/01/1995,,"Interaction diversity, parasitoids, caterpillars, plants, plant chemistry",La Selva,University of Nevada - Reno,US,,Approved,-119.8161541,39.5453298
"Ronald, Parry",M,US,Volunteer,Old Orugas,Plant-caterpillar-parasitoid interaction diversity across the Americas.,01/01/1995,,"Interaction diversity, parasitoids, caterpillars, plants, plant chemistry",La Selva,University of Nevada - Reno,US,,Approved,-119.8161541,39.5453298
"Andres, Vega",M,CR,Technician,Mate preference in red-eyed treefrogs,Evolucion de la preferencia entre las diversas formas de colores de la rana de ojos rojos (Agalychnis callidryas),06/01/2013,08/01/2013,"mate choice, tree frogs, sexual selection",La Selva,"California State University, Northridge",US,"California State University, Northridge",Finished,-118.5276745,34.2410366
"Cindy, Hitchcock",F,US,Technician,Mate preference in red-eyed treefrogs,Evolucion de la preferencia entre las diversas formas de colores de la rana de ojos rojos (Agalychnis callidryas),06/01/2013,08/01/2013,"mate choice, tree frogs, sexual selection",La Selva,"California State University, Northridge",US,"California State University, Northridge",Finished,-118.5276745,34.2410366
"Jeanne, Robertson",F,US,Principal Investigator,Mate preference in red-eyed treefrogs,Evolucion de la preferencia entre las diversas formas de colores de la rana de ojos rojos (Agalychnis callidryas),06/01/2013,08/01/2013,"mate choice, tree frogs, sexual selection",La Selva,"California State University, Northridge",US,"California State University, Northridge",Finished,-118.5276745,34.2410366
"Leah, Jacobs",F,US,Student,Mate preference in red-eyed treefrogs,Evolucion de la preferencia entre las diversas formas de colores de la rana de ojos rojos (Agalychnis callidryas),06/01/2013,08/01/2013,"mate choice, tree frogs, sexual selection",La Selva,"California State University, Northridge",US,"California State University, Northridge",Finished,-118.5276745,34.2410366
"Erica, Carcelen",F,US,Student,Emballonurid Project,"Normas de dispersión y sistemas de
apareamiento en los murciélagos de la familia Emballonuridae",06/01/2006,,"Bats, Emballonuridae, sex-biased dispersal, mating system",La Selva,Rhodes College,US,,Approved,-89.9889893,35.1556997
"Luke, Wilde",M,US,Student,Emballonurid Project,"Normas de dispersión y sistemas de
apareamiento en los murciélagos de la familia Emballonuridae",06/01/2006,,"Bats, Emballonuridae, sex-biased dispersal, mating system",La Selva,Gonzaga University,US,,Approved,-117.4014343,47.6670321
"Martina, Nagy",F,DE,Principal Investigator,Emballonurid Project,"Normas de dispersión y sistemas de
apareamiento en los murciélagos de la familia Emballonuridae",06/01/2006,,"Bats, Emballonuridae, sex-biased dispersal, mating system",La Selva,Natural History Museum of Berlin,DE,,Approved,13.3791755,52.5305726
"Mirjam, Knoernschild",F,DE,Co-PI,Emballonurid Project,"Normas de dispersión y sistemas de
apareamiento en los murciélagos de la familia Emballonuridae",06/01/2006,,"Bats, Emballonuridae, sex-biased dispersal, mating system",La Selva,"University of Ulm, Institute of Experimental Ecology",DE,,Approved,9.955582,48.4222305
"Aaron, Thompson",M,US,Collaborator,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Alonso, Ramirez",M,CR,Co-PI,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Carissa, Ganong",F,US,Senior Personnel,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Catherine, Pringle",F,US,Principal Investigator,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Christopher, Watson",M,US,Student,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Marcelo, Ardon",M,US,Senior Personnel,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Minor, Hidalgo",M,US,Field Assistant,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Rupert, England",M,US,Field Assistant,STREAMS,STREAMS (Cambios naturales en la acidez del agua y sus efectos en los ecosistemas de río),01/01/1990,08/01/2021,"stream, nutrients, macroinvertebrate, phosphorus, carbon dioxide",La Selva,University of Georgia,US,National Science Foundation NSF,Approved,-83.3773221,33.9480053
"Mirjam, Knoernschild",F,DE,Principal Investigator,COMPLEXBATS,Social and Vocal Complexity in Emballonurid Bats,07/01/2007,,,La Selva,"University of Ulm, Institute of Experimental Ecology",DE,,Postponed,9.955582,48.4222305
"David, Villalobos Chaves",M,CR,Student,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Kalina, Betkowska-Davies",F,IO,Student,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Laurel, Yohe",F,US,Student,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Leith, Miller",F,US,Student,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Liliana, Davalos",F,CO,Co-PI,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Mary Elise, Lauterbur",F,US,Student,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Sharlene, Santana",F,US,Principal Investigator,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Stephen, Rossiter",M,GB,Collaborator,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Zofia Adelajda, Kaliszewska",F,US,Co-PI,Phyllostomines diet,"Comparative studies of diet, cranial morphology and function in Neotropical leaf-nosed bats (Chiroptera: Phyllostomidae)",05/13/2013,12/31/2020,"Bats, insectivory, phyllostomidae",La Selva,University of Washington,US,,Approved,-122.3035199,47.6553351
"Ximena, Obregon",F,CR,Volunteer,lekking behavior in long-billed hermits,Bills as sexually dimporphic weapons in long-billed hermit hummingbirds,05/08/2010,,"Sexually dimorphic weapons, long-billed hermit, Phaethornis longirostris, vocalizations, leks",La Selva,Universidad de Costa Rica,CR,OTS - OET,Approved,-84.0510284,9.9369824
"Susana, Cano Duenas",F,US,Student,lekking behavior in long-billed hermits,Bills as sexually dimporphic weapons in long-billed hermit hummingbirds,05/08/2010,,"Sexually dimorphic weapons, long-billed hermit, Phaethornis longirostris, vocalizations, leks",La Selva,California Polytechnic State University - San Luis Obispo,US,OTS - OET,Approved,-120.6624942,35.3050053
"Marcelo, Araya",M,CR,Principal Investigator,lekking behavior in long-billed hermits,Bills as sexually dimporphic weapons in long-billed hermit hummingbirds,05/08/2010,,"Sexually dimorphic weapons, long-billed hermit, Phaethornis longirostris, vocalizations, leks",La Selva,New Mexico State University,US,OTS - OET,Approved,-106.7479059,32.2787745
"Timothy, Wright",M,US,Principal Investigator,lekking behavior in long-billed hermits,Bills as sexually dimporphic weapons in long-billed hermit hummingbirds,05/08/2010,,"Sexually dimorphic weapons, long-billed hermit, Phaethornis longirostris, vocalizations, leks",La Selva,New Mexico State University,US,OTS - OET,Approved,-106.7479059,32.2787745
"Kayla, Johnson",F,US,Student,lekking behavior in long-billed hermits,Bills as sexually dimporphic weapons in long-billed hermit hummingbirds,05/08/2010,,"Sexually dimorphic weapons, long-billed hermit, Phaethornis longirostris, vocalizations, leks",La Selva,University In Maryland,US,OTS - OET,Approved,-76.621496,39.3520452
"Meghan, Fitzgerald",F,US,Principal Investigator,Stealing and Social Spiders,"Sociality and Stealing Symbiotic Relationships in Neotropical Spiders 

Socialidad y Robo Las relaciones simbióticas en arañas neotropicales",05/13/2013,09/21/2015,,La Selva,University of Wisconsin - Madison,US,NSF GRFP,Finished,-89.4124875,43.076592
"Gretchen, Daily",F,US,Advisor,Adaptation to deforestation,Adaptation and preadaptation to tropical deforestation: what genes confer survival ability in neotropical leaf litter frogs?,06/15/2013,07/23/2013,"contemporary evolution, amphibians, deforestation, countryside biogeography, selection",La Selva,Stanford University,US,,Finished,-122.169719,37.4274745
"Luke, Frishkoff",M,US,Principal Investigator,Adaptation to deforestation,Adaptation and preadaptation to tropical deforestation: what genes confer survival ability in neotropical leaf litter frogs?,06/15/2013,07/23/2013,"contemporary evolution, amphibians, deforestation, countryside biogeography, selection",La Selva,Stanford University,US,,Finished,-122.169719,37.4274745
