NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Vinton, Thompson",M,US,Co-PI,Spittlebugs of Costa Rica - Continued Investigations,"Continuaci?n de los investigaciones cient?ficos en marcha de la identidad, la distribuci?n y la ecolog?a de los cerc?pidos (Insecta, Hemiptera, Auchenorrhyncha, Cercopoidea) y los insectos relacionados de Costa Rica",05/17/2019,05/22/2019,,Las Cruces,"American Museum of Natural History, New York",US,,Finished,-73.9739882,40.7813241
"Christian, Komposch",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/19/2019,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Palo Verde,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Erwin, Holzer",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/19/2019,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Palo Verde,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Gernot, Kunz",M,AT,Principal Investigator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/19/2019,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Palo Verde,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Rolf, Niedringhaus",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/19/2019,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Palo Verde,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Werner, Holzinger",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/19/2019,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Palo Verde,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Christian, Komposch",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/09/2018,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Las Cruces,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Erwin, Holzer",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/09/2018,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Las Cruces,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Gernot, Kunz",M,AT,Principal Investigator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/09/2018,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Las Cruces,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Rolf, Niedringhaus",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/09/2018,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Las Cruces,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
